point_name,latitude,longitude,altitude,north,east,elevation,point_type,horizontal SD,vertical SD,reset time,convergence count
lamppost_1a,57.484585691968014,12.008951647166743,75.24189453125,/,/,/,Check Point,0.00199,0.0034619201597519108,1,5
lamppost_2d,57.48449667507564,12.009611491094834,74.99305572509766,/,/,/,Check Point,0.00090,0.0025992010450500967,1,5
feature_3a,57.484161220753606,12.010498613144026,72.39768981933594,/,/,/,Check Point,0.00685,0.007238230591177349,1,5
feature_4a,57.484163889839216,12.010482270846094,72.64004974365234,/,/,/,Check Point,0.00504,0.003072215673142761,1,5
lamppost_5d,57.48393191976969,12.009176025186662,76.60960540771484,/,/,/,Check Point,0.01069,0.005245278677405211,1,5
lamppost_6a,57.48399774973272,12.008980625165208,76.39214782714843,/,/,/,Check Point,0.00662,0.006024339065643561,1,5
