point_name,latitude,longitude,altitude,north,east,elevation,point_type,horizontal SD,vertical SD,reset time,convergence count
aruco_24a,57.48417200155693,12.010028962964366,75.03256072998047,/,/,/,Check Point,0.00090,0.0008075438751522936,1,5
aruco_24c,57.48418583728026,12.010052305062038,75.01708374023437,/,/,/,Check Point,0.01914,0.006068606016612261,1,5
aruco_17a,57.48451372894236,12.00977788073061,72.75258941650391,/,/,/,Check Point,0.00174,0.00048387283063648114,1,5
aruco_17c,57.484504456642185,12.009746301733916,72.54821319580078,/,/,/,Check Point,0.00520,0.003047166193429694,1,5
aruco_0a,57.484590611938096,12.00870405215783,74.88849487304688,/,/,/,Check Point,0.00255,0.0015006867569667313,1,5
aruco_0c,57.48457327326084,12.008690500341846,74.66751861572266,/,/,/,Check Point,0.00273,0.002013630979885134,1,5
